,word_appear_set,class_word_appear_set,word_doc_set,doc_class_set
with,"[494, 1095, 228, 406, 206, 111, 60, 108]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[314, 630, 107, 160, 99, 55, 32, 57]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
inc,"[1203, 1367, 42, 3, 11, 8, 3, 10]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1122, 859, 29, 2, 6, 8, 1, 7]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
profit,"[2393, 104, 19, 2, 5, 5, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[780, 78, 15, 2, 2, 4, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
shr,"[2500, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1419, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
bank,"[562, 584, 70, 90, 451, 490, 187, 12]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[130, 216, 24, 33, 129, 112, 52, 5]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
at,"[535, 819, 298, 193, 233, 150, 91, 113]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[296, 484, 125, 110, 108, 63, 34, 65]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
billion,"[1084, 216, 87, 361, 147, 95, 376, 7]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[328, 134, 30, 98, 49, 32, 61, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
has,"[353, 1221, 177, 204, 120, 55, 13, 72]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[246, 711, 100, 97, 63, 36, 8, 47]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
was,"[428, 744, 304, 280, 171, 111, 77, 83]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[253, 419, 129, 130, 79, 47, 35, 47]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
he,"[419, 598, 332, 454, 218, 82, 13, 69]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[151, 215, 107, 140, 69, 32, 5, 37]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
oper,"[1659, 327, 60, 8, 20, 6, 6, 27]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[584, 225, 30, 8, 16, 6, 6, 20]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
corp,"[852, 1083, 76, 18, 5, 17, 1, 8]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[753, 713, 54, 13, 5, 17, 1, 7]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
an,"[407, 880, 200, 192, 116, 45, 33, 52]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[296, 567, 120, 111, 62, 30, 15, 41]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
would,"[290, 784, 206, 312, 155, 96, 14, 60]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[165, 352, 98, 129, 64, 42, 7, 36]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
as,"[405, 617, 221, 277, 164, 78, 16, 63]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[239, 371, 104, 130, 60, 39, 9, 37]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
not,"[363, 753, 163, 256, 139, 71, 13, 53]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[254, 468, 92, 112, 71, 36, 6, 37]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
us,"[223, 410, 151, 675, 178, 65, 30, 71]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[137, 208, 75, 149, 68, 39, 18, 22]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
sale,"[1129, 586, 26, 21, 19, 9, 3, 10]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[615, 329, 19, 15, 14, 6, 2, 7]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
or,"[811, 655, 66, 81, 38, 29, 3, 20]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[401, 366, 44, 53, 24, 21, 3, 18]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
trade,"[106, 144, 47, 1195, 114, 34, 10, 18]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[76, 106, 30, 215, 52, 24, 7, 15]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
rev,"[1638, 3, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[995, 3, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
which,"[372, 668, 133, 152, 92, 60, 38, 61]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[254, 475, 83, 95, 62, 38, 20, 44]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
stock,"[641, 784, 85, 15, 21, 17, 6, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[363, 438, 29, 8, 8, 10, 4, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
qtr,"[1493, 1, 4, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[1157, 1, 3, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
oil,"[159, 112, 1037, 23, 5, 3, 0, 15]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[101, 63, 213, 16, 4, 3, 0, 14]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
but,"[276, 345, 171, 247, 150, 68, 19, 70]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[177, 246, 99, 126, 67, 32, 9, 51]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
offer,"[83, 1112, 19, 12, 35, 19, 0, 41]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[60, 360, 12, 9, 23, 12, 0, 20]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
market,"[206, 293, 137, 213, 314, 130, 14, 9]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[131, 195, 67, 95, 127, 56, 6, 6]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
had,"[287, 542, 120, 99, 125, 61, 16, 61]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[166, 365, 63, 68, 73, 28, 8, 37]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
about,"[354, 562, 137, 98, 62, 29, 25, 36]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[204, 396, 79, 65, 45, 20, 10, 26]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
quarter,"[1120, 54, 46, 29, 15, 24, 11, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[607, 44, 21, 9, 6, 12, 6, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
group,"[369, 777, 44, 27, 17, 13, 0, 13]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[219, 406, 32, 19, 12, 10, 0, 7]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
note,"[1003, 110, 12, 24, 38, 43, 20, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[962, 81, 11, 18, 32, 24, 18, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
also,"[345, 482, 121, 117, 80, 47, 6, 27]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[258, 330, 85, 75, 52, 31, 6, 22]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
have,"[197, 438, 147, 196, 113, 62, 10, 58]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[145, 293, 77, 100, 61, 32, 6, 40]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
one,"[502, 342, 114, 81, 56, 62, 16, 22]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[412, 240, 71, 50, 40, 35, 10, 18]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
last,"[342, 261, 181, 193, 84, 66, 21, 38]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[220, 208, 96, 109, 54, 41, 15, 30]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
includ,"[774, 235, 34, 70, 19, 16, 15, 15]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[563, 197, 29, 53, 17, 12, 15, 13]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
this,"[292, 240, 163, 163, 124, 97, 21, 57]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[198, 193, 85, 107, 80, 52, 18, 35]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
are,"[227, 364, 125, 218, 96, 46, 14, 56]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[154, 240, 80, 109, 48, 30, 13, 36]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
price,"[183, 337, 445, 68, 53, 26, 2, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[115, 252, 117, 37, 17, 13, 2, 5]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
unit,"[242, 595, 55, 169, 35, 8, 0, 16]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[162, 381, 48, 87, 26, 7, 0, 8]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
rate,"[147, 34, 33, 37, 218, 601, 28, 5]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[96, 22, 21, 20, 82, 127, 13, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
were,"[271, 337, 135, 140, 77, 42, 29, 71]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[184, 264, 78, 87, 51, 34, 13, 43]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
new,"[279, 424, 90, 112, 60, 64, 23, 47]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[183, 269, 51, 61, 35, 39, 15, 27]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
april,"[770, 140, 43, 54, 25, 22, 7, 16]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[576, 116, 30, 40, 14, 16, 3, 13]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
co,"[426, 542, 52, 10, 10, 15, 2, 12]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[389, 374, 38, 7, 8, 11, 2, 10]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
march,"[553, 248, 66, 25, 45, 44, 43, 21]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[447, 200, 40, 14, 21, 26, 24, 13]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
expect,"[521, 251, 75, 67, 51, 47, 7, 18]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[312, 215, 54, 46, 30, 27, 4, 15]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
industri,"[272, 340, 127, 163, 49, 10, 6, 34]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[225, 242, 63, 81, 32, 8, 5, 16]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
two,"[397, 306, 63, 100, 46, 31, 13, 44]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[319, 225, 48, 67, 36, 26, 10, 34]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
per,"[577, 269, 95, 17, 12, 2, 0, 3]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[360, 164, 77, 10, 7, 2, 0, 3]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
end,"[547, 159, 38, 52, 33, 20, 71, 35]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[437, 135, 33, 46, 22, 16, 29, 22]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
dividend,"[916, 28, 1, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[554, 23, 1, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
first,"[488, 257, 58, 61, 25, 32, 9, 9]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[260, 128, 43, 45, 17, 19, 3, 9]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
record,"[815, 38, 6, 35, 26, 9, 5, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[735, 33, 5, 30, 19, 6, 5, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
earn,"[804, 89, 10, 8, 3, 0, 2, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[369, 65, 9, 8, 3, 0, 1, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
report,"[480, 150, 113, 71, 32, 13, 5, 38]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[308, 117, 72, 49, 25, 10, 5, 29]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
increas,"[430, 149, 84, 83, 34, 63, 34, 20]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[275, 116, 53, 52, 23, 29, 25, 13]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
up,"[220, 274, 110, 132, 54, 32, 37, 36]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[170, 203, 65, 82, 35, 17, 26, 24]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
they,"[76, 307, 104, 164, 105, 61, 9, 47]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[45, 158, 48, 78, 52, 33, 7, 26]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
agreement,"[53, 450, 48, 179, 70, 18, 1, 17]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[41, 310, 28, 100, 46, 14, 1, 12]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
ltd,"[340, 416, 34, 15, 3, 9, 0, 16]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[245, 240, 17, 7, 2, 6, 0, 9]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
product,"[221, 222, 212, 150, 9, 4, 2, 8]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[139, 146, 94, 74, 6, 2, 2, 6]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
plan,"[197, 367, 62, 102, 23, 20, 0, 35]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[144, 244, 41, 53, 16, 10, 0, 21]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
interest,"[208, 311, 31, 48, 37, 140, 13, 10]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[138, 226, 24, 35, 23, 58, 13, 8]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
other,"[174, 325, 60, 91, 52, 47, 10, 23]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[138, 234, 40, 68, 39, 33, 10, 17]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
after,"[278, 172, 81, 71, 53, 29, 57, 35]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[215, 135, 63, 55, 44, 22, 17, 25]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
may,"[407, 205, 42, 37, 25, 37, 2, 20]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[331, 153, 33, 30, 15, 20, 1, 14]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
been,"[148, 288, 97, 84, 70, 35, 8, 44]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[117, 232, 67, 56, 44, 25, 6, 32]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
month,"[295, 116, 94, 83, 64, 41, 46, 28]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[213, 98, 59, 57, 40, 27, 19, 21]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
sharehold,"[244, 512, 1, 2, 2, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[193, 326, 1, 2, 2, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
acquir,"[58, 671, 3, 2, 0, 0, 1, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[52, 501, 3, 2, 0, 0, 1, 5]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
more,"[143, 261, 73, 129, 57, 25, 13, 32]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[93, 191, 54, 87, 40, 16, 9, 25]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
common,"[209, 489, 5, 8, 13, 2, 0, 1]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[133, 330, 5, 7, 10, 2, 0, 1]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
invest,"[234, 380, 41, 31, 19, 13, 6, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[183, 251, 30, 18, 12, 9, 3, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
acquisit,"[131, 586, 1, 4, 0, 0, 0, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[92, 393, 1, 2, 0, 0, 0, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
result,"[535, 107, 29, 17, 22, 7, 3, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[364, 99, 25, 16, 16, 6, 3, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
exchang,"[102, 314, 20, 31, 211, 15, 6, 22]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[79, 271, 11, 23, 81, 11, 5, 11]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
dlr,"[347, 226, 61, 50, 2, 11, 8, 5]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[257, 172, 43, 35, 2, 8, 6, 5]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
buy,"[43, 575, 19, 35, 20, 10, 0, 6]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[34, 408, 14, 25, 15, 9, 0, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
gain,"[587, 58, 13, 6, 19, 9, 2, 2]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[403, 44, 10, 4, 8, 7, 2, 2]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
pay,"[512, 84, 29, 4, 15, 6, 1, 40]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[487, 66, 24, 3, 9, 5, 1, 22]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
japan,"[24, 95, 10, 431, 82, 20, 5, 23]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[21, 40, 6, 108, 37, 11, 2, 9]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
intern,"[183, 291, 41, 93, 48, 11, 4, 16]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[137, 190, 28, 69, 35, 9, 4, 14]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
board,"[199, 419, 4, 8, 17, 19, 4, 11]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[166, 263, 4, 8, 14, 11, 4, 8]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
offici,"[25, 121, 128, 218, 83, 35, 13, 55]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[15, 81, 58, 81, 45, 13, 6, 33]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
avg,"[663, 0, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[407, 0, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
shrs,"[659, 2, 0, 0, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[412, 2, 0, 0, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
secur,"[129, 410, 26, 23, 36, 23, 8, 4]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[95, 275, 17, 18, 24, 20, 7, 4]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
stake,"[50, 595, 6, 1, 0, 0, 0, 0]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[37, 305, 5, 1, 0, 0, 0, 0]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
total,"[200, 247, 59, 40, 32, 13, 37, 18]","[190530, 186541, 48448, 56665, 33575, 20966, 10335, 15933]","[134, 209, 40, 25, 28, 10, 21, 14]","[2673, 1435, 223, 225, 176, 140, 70, 107]"
